url,comment_user,comment_user_url,comment_date,comment,likes_number,replies_number,replies,hashtag_comment,tagged_users_in_comment,post_url,post_user,comment_id,post_id
"https://www.instagram.com/pethonesty","tb9███ck","https://www.instagram.com/tb98rock","2025-01-06T12:23:32.000Z","My dog made me go out at 5 am the other day to stink 😒 it would’ve been fine if he didn’t celebrate by rolling through the snow afterwards haha",1,1,"[{""likes_number"":0,""reply"":""@tb98rock 🤣🤣🤣"",""reply_date"":""2025-01-06T14:29:30.000Z"",""reply_user"":""pet███est███""}]","null","null","https://www.instagram.com/p/DEOF104Js85","pet███est███","17937675152958364","3534788446673882937"
"https://www.instagram.com/pethonesty","mia███che███sba█████████","https://www.instagram.com/miaandchewiesbarkside","2024-12-30T23:42:42.000Z","2AM, 4AM, and 6AM 😅😂♥️",1,1,"[{""likes_number"":1,""reply"":""@miaandchewiesbarkside Literally! 🤣"",""reply_date"":""2024-12-31T15:13:46.000Z"",""reply_user"":""pet███est███""}]","null","null","https://www.instagram.com/p/DEOF104Js85","pet███est███","17848574037344541","3534788446673882937"
"https://www.instagram.com/pethonesty","las███lit███","https://www.instagram.com/lassielite","2024-12-20T23:25:35.000Z","Fresh breath means more kisses under the mistletoe!",1,1,"[{""likes_number"":0,""reply"":""@lassielite Exactly! 🥰"",""reply_date"":""2024-12-21T15:49:58.000Z"",""reply_user"":""pet███est███""}]","null","null","https://www.instagram.com/p/DDxxFo3Jvog","pet███est███","17906068793986050","3526815874959211040"
"https://www.instagram.com/lucuma_theretriever","the███adi███es","https://www.instagram.com/theb0badiaries","2024-12-11T10:36:06.000Z","I can’t get over those adorable shoes bestie 💖",1,1,"[{""likes_number"":0,""reply"":""@theb0badiaries aww thank you bestie! Pink is life and goes with everything 🤩💗🐾🫶🏻"",""reply_date"":""2024-12-11T12:33:56.000Z"",""reply_user"":""luc███_th███tri██████""}]","null","null","https://www.instagram.com/p/DDX5cEfSsG4","luc███_th███tri██████","18025668341618041","3519534251429773752"
"https://www.instagram.com/lucuma_theretriever","flu███big███s.k███","https://www.instagram.com/fluffybigpaws.kai","2024-12-10T23:10:28.000Z","Ooh this is so pretty 😍😍 definitely a vibe!",1,1,"[{""likes_number"":0,""reply"":""@fluffybigpaws.kai aww thank you cutie! 🥰🫶🏻🐾💗"",""reply_date"":""2024-12-11T17:23:39.000Z"",""reply_user"":""luc███_th███tri██████""}]","null","null","https://www.instagram.com/p/DDX5cEfSsG4","luc███_th███tri██████","17922962883005201","3519534251429773752"
"https://www.instagram.com/pethonesty","bar███ith███","https://www.instagram.com/bark.with.it","2024-12-13T19:12:10.000Z","We so want those toys. How can we get some? 😍",1,1,"[{""likes_number"":1,""reply"":""@bark.with.it Aren’t they so cute! You can enjoy a special toy from us with this bundle purchase!"",""reply_date"":""2024-12-14T15:02:04.000Z"",""reply_user"":""pet███est███""}]","null","null","https://www.instagram.com/p/DDfvg2Cp4mF","pet███est███","18474866200052309","3521742398862887301"
"https://www.instagram.com/pethonesty","paw███ive███our█████████e","https://www.instagram.com/pawsitivelyyourskoakoffee","2024-12-13T04:06:46.000Z","We have those toys! My super chewer dogs love it and it’s still standing and intact to this day 😍😍",1,1,"[{""likes_number"":0,""reply"":""@pawsitivelyyourskoakoffee LOVE! 🙌"",""reply_date"":""2024-12-14T15:05:17.000Z"",""reply_user"":""pet███est███""}]","null","null","https://www.instagram.com/p/DDfvg2Cp4mF","pet███est███","18284365984174223","3521742398862887301"
"https://www.instagram.com/dukeandduchessduo","bla███abr███ews███","https://www.instagram.com/blacklabreviews","2024-12-23T23:45:35.000Z","Looking great!🔥",1,1,"[{""likes_number"":1,""reply"":""@blacklabreviews 😍😍😍"",""reply_date"":""2024-12-24T15:11:40.000Z"",""reply_user"":""duk███ddu███ssd███""}]","null","null","https://www.instagram.com/p/DD5JX0gRQQ4","duk███ddu███ssd███","17879818980207888","3528893002364027960"
"https://www.instagram.com/nickbarefitness","ang███ook███","https://www.instagram.com/anguscook","2024-12-29T19:33:04.000Z","@tommyrunpt get involved",1,1,"[{""likes_number"":1,""reply"":""@anguscook 😬"",""reply_date"":""2024-12-30T15:22:50.000Z"",""reply_user"":""tom███unp███""}]","null","[""@to███run███""]","https://www.instagram.com/p/DD5v4-1MzpW","nic███ref███ess███","18149757424351255","3529062406962756182"
"https://www.instagram.com/nickbarefitness","f45███lto███wnt█████████","https://www.instagram.com/f45_hiltondowntownatx","2024-12-14T18:54:23.000Z","you down @edswol ?",0,1,"[{""likes_number"":0,""reply"":""@f45_hiltondowntownatx fckkkkkkk yeah"",""reply_date"":""2024-12-14T20:26:18.000Z"",""reply_user"":""eds███""}]","null","[""@ed███l""]","https://www.instagram.com/p/DDIYi4-SYpK","nic███ref███ess███","18063327511837368","3515167459915696714"
"https://www.instagram.com/pethonesty","las███lit███","https://www.instagram.com/lassielite","2024-12-26T02:49:29.000Z","Happy Holidays!",1,1,"[{""likes_number"":0,""reply"":""@lassielite Happy Holidays! 🎄💛"",""reply_date"":""2024-12-26T14:37:34.000Z"",""reply_user"":""pet███est███""}]","null","null","https://www.instagram.com/p/DEAkq_xJgS_","pet███est███","18000475508537234","3530983392221201599"
"https://www.instagram.com/pethonesty","the███ici███aco██████","https://www.instagram.com/theofficialtacosquad","2024-12-25T20:17:54.000Z","Merry Christmas 😍",1,1,"[{""likes_number"":1,""reply"":""@theofficialtacosquad 🫶🫶🫶"",""reply_date"":""2024-12-26T14:37:42.000Z"",""reply_user"":""pet███est███""}]","null","null","https://www.instagram.com/p/DEAkq_xJgS_","pet███est███","18115593226425747","3530983392221201599"
"https://www.instagram.com/pethonesty","dog███m87███","https://www.instagram.com/dog_mom87","2024-12-24T05:24:57.000Z","the best gift ❤️",1,1,"[{""likes_number"":1,""reply"":""@dog_mom87 truly 🥹🥹"",""reply_date"":""2024-12-24T07:17:15.000Z"",""reply_user"":""pet███est███""}]","null","null","https://www.instagram.com/p/DD8ETf3JTk-","pet███est███","17915985129042434","3529715140018911550"
"https://www.instagram.com/pethonesty","dog███pet███e","https://www.instagram.com/dogmumpetcare","2024-12-17T14:10:07.000Z","Best thing we could ever wish for 😍",1,2,"[{""likes_number"":0,""reply"":""@dogmumpetcare This!🙌🙌"",""reply_date"":""2024-12-17T14:33:26.000Z"",""reply_user"":""pet███est███""},{""likes_number"":1,""reply"":""@pethonesty 😍"",""reply_date"":""2024-12-17T18:24:36.000Z"",""reply_user"":""dog███pet███e""}]","null","null","https://www.instagram.com/p/DDqCvQtJjIv","pet███est███","18062411377888079","3524641702216610351"
"https://www.instagram.com/pethonesty","the███ici███aco██████","https://www.instagram.com/theofficialtacosquad","2024-12-18T23:13:13.000Z","Do you make one for cats?😍",2,2,"[{""likes_number"":1,""reply"":""@theofficialtacosquad stay tuned 👀👀👀"",""reply_date"":""2024-12-19T00:24:15.000Z"",""reply_user"":""pet███est███""},{""likes_number"":1,""reply"":""@pethonesty omg yesss😍"",""reply_date"":""2024-12-19T00:35:37.000Z"",""reply_user"":""the███ici███aco██████""}]","null","null","https://www.instagram.com/p/DDvMP_6JeRO","pet███est███","17867594073275872","3526090909225968718"
"https://www.instagram.com/lucuma_theretriever","the███ro.███s","https://www.instagram.com/the.hero.dogs","2024-12-11T13:05:45.000Z","We love those multivitamins!",2,2,"[{""likes_number"":0,""reply"":""@the.hero.dogs Yay!!! 🥰🫶🏻🐾💗"",""reply_date"":""2024-12-11T13:25:32.000Z"",""reply_user"":""luc███_th███tri██████""},{""likes_number"":1,""reply"":""@the.hero.dogs 🥰🥰🥰"",""reply_date"":""2024-12-11T14:32:42.000Z"",""reply_user"":""pet███est███""}]","null","null","https://www.instagram.com/p/DDX5cEfSsG4","luc███_th███tri██████","17949078218884331","3519534251429773752"
"https://www.instagram.com/pethonesty","tai███ftw███ods███","https://www.instagram.com/tailsoftwodoods","2024-12-12T23:55:00.000Z","Those toys are so cute!!!",1,1,"[{""likes_number"":1,""reply"":""@tailsoftwodoods The cutest!💛"",""reply_date"":""2024-12-14T15:05:04.000Z"",""reply_user"":""pet███est███""}]","null","null","https://www.instagram.com/p/DDfvg2Cp4mF","pet███est███","18045519101168150","3521742398862887301"
"https://www.instagram.com/dukeandduchessduo","las███lit███","https://www.instagram.com/lassielite","2024-12-24T02:09:33.000Z","😍",1,1,"[{""likes_number"":0,""reply"":""@lassielite 😍😍😍"",""reply_date"":""2024-12-24T15:11:45.000Z"",""reply_user"":""duk███ddu███ssd███""}]","null","null","https://www.instagram.com/p/DD5JX0gRQQ4","duk███ddu███ssd███","18121764547408963","3528893002364027960"
"https://www.instagram.com/beautifulbydrew","ynf███ti.███","https://www.instagram.com/ynfiniti.w","2024-12-17T07:21:44.000Z","@jsigm8427 if she keeps coming out with stuff i’m gonna be broke",1,1,"[{""likes_number"":0,""reply"":""@ynfiniti.w Me too! Because of you. Haha"",""reply_date"":""2024-12-17T23:56:58.000Z"",""reply_user"":""jsi███427███""}]","null","[""@js███842███""]","https://www.instagram.com/p/DDkGsVItAT2","bea███ful███rew███","18069091270610284","3522970243141207286"
